"eventID","eventDate","decimalLatitude","decimalLongitude","geodeticDatum","minimumDepthInMeters","maximumDepthInMeters","locationID","footprintWKT","modified"
"48291772-a7b1-48f0-a428-b0110f97f59e","2020-01-30T15:05:34Z",41.3899,-70.0309,"EPSG:4326",0,0,"Release","POLYGON ((-67.4121 40.2363, -69.7911 40.2904, -70.6035 40.4449, -70.67910000000001 40.487, -71.1855 40.9593, -71.3079 41.1806, -70.28530000000001 43.6964, -69.9359 43.8012, -69.6621 43.8355, -69.1524 43.7982, -68.7291 43.647, -66.02809999999999 42.2129, -67.39109999999999 40.2468, -67.4121 40.2363))","2021-08-12T20:02:21Z"
"48291772-a7b1-48f0-a428-b0110f97f59e","2020-01-30T15:13:36Z",41.3972,-70.0302,"EPSG:4326",0,0,"Release","POLYGON ((-67.4121 40.2363, -69.7911 40.2904, -70.6035 40.4449, -70.67910000000001 40.487, -71.1855 40.9593, -71.3079 41.1806, -70.28530000000001 43.6964, -69.9359 43.8012, -69.6621 43.8355, -69.1524 43.7982, -68.7291 43.647, -66.02809999999999 42.2129, -67.39109999999999 40.2468, -67.4121 40.2363))","2021-08-12T20:02:21Z"
"48291772-a7b1-48f0-a428-b0110f97f59e","2020-01-30T15:31:26Z",41.394,-70.0313,"EPSG:4326",0,0,"Release","POLYGON ((-67.4121 40.2363, -69.7911 40.2904, -70.6035 40.4449, -70.67910000000001 40.487, -71.1855 40.9593, -71.3079 41.1806, -70.28530000000001 43.6964, -69.9359 43.8012, -69.6621 43.8355, -69.1524 43.7982, -68.7291 43.647, -66.02809999999999 42.2129, -67.39109999999999 40.2468, -67.4121 40.2363))","2021-08-12T20:02:21Z"
"48291772-a7b1-48f0-a428-b0110f97f59e","2020-01-30T15:52:17Z",41.3995,-69.9917,"EPSG:4326",0,0,"Release","POLYGON ((-67.4121 40.2363, -69.7911 40.2904, -70.6035 40.4449, -70.67910000000001 40.487, -71.1855 40.9593, -71.3079 41.1806, -70.28530000000001 43.6964, -69.9359 43.8012, -69.6621 43.8355, -69.1524 43.7982, -68.7291 43.647, -66.02809999999999 42.2129, -67.39109999999999 40.2468, -67.4121 40.2363))","2021-08-12T20:02:21Z"
"48291772-a7b1-48f0-a428-b0110f97f59e","2020-01-30T21:22:54Z",41.3416,-69.856,"EPSG:4326",0,0,"Release","POLYGON ((-67.4121 40.2363, -69.7911 40.2904, -70.6035 40.4449, -70.67910000000001 40.487, -71.1855 40.9593, -71.3079 41.1806, -70.28530000000001 43.6964, -69.9359 43.8012, -69.6621 43.8355, -69.1524 43.7982, -68.7291 43.647, -66.02809999999999 42.2129, -67.39109999999999 40.2468, -67.4121 40.2363))","2021-08-12T20:02:21Z"
"48291772-a7b1-48f0-a428-b0110f97f59e","2020-01-30T22:21:57Z",41.3103,-69.8707,"EPSG:4326",0,0,"Release","POLYGON ((-67.4121 40.2363, -69.7911 40.2904, -70.6035 40.4449, -70.67910000000001 40.487, -71.1855 40.9593, -71.3079 41.1806, -70.28530000000001 43.6964, -69.9359 43.8012, -69.6621 43.8355, -69.1524 43.7982, -68.7291 43.647, -66.02809999999999 42.2129, -67.39109999999999 40.2468, -67.4121 40.2363))","2021-08-12T20:02:21Z"
"48291772-a7b1-48f0-a428-b0110f97f59e","2020-01-30T22:21:57Z",41.3082,-69.8755,"EPSG:4326",0,0,"Release","POLYGON ((-67.4121 40.2363, -69.7911 40.2904, -70.6035 40.4449, -70.67910000000001 40.487, -71.1855 40.9593, -71.3079 41.1806, -70.28530000000001 43.6964, -69.9359 43.8012, -69.6621 43.8355, -69.1524 43.7982, -68.7291 43.647, -66.02809999999999 42.2129, -67.39109999999999 40.2468, -67.4121 40.2363))","2021-08-12T20:02:21Z"
"48291772-a7b1-48f0-a428-b0110f97f59e","2020-01-30T23:16:14Z",41.2992,-69.8729,"EPSG:4326",0,0,"Release","POLYGON ((-67.4121 40.2363, -69.7911 40.2904, -70.6035 40.4449, -70.67910000000001 40.487, -71.1855 40.9593, -71.3079 41.1806, -70.28530000000001 43.6964, -69.9359 43.8012, -69.6621 43.8355, -69.1524 43.7982, -68.7291 43.647, -66.02809999999999 42.2129, -67.39109999999999 40.2468, -67.4121 40.2363))","2021-08-12T20:02:21Z"
"48291772-a7b1-48f0-a428-b0110f97f59e","2020-01-31T00:02:23Z",41.2904,-69.8699,"EPSG:4326",0,0,"Release","POLYGON ((-67.4121 40.2363, -69.7911 40.2904, -70.6035 40.4449, -70.67910000000001 40.487, -71.1855 40.9593, -71.3079 41.1806, -70.28530000000001 43.6964, -69.9359 43.8012, -69.6621 43.8355, -69.1524 43.7982, -68.7291 43.647, -66.02809999999999 42.2129, -67.39109999999999 40.2468, -67.4121 40.2363))","2021-08-12T20:02:21Z"
"48291772-a7b1-48f0-a428-b0110f97f59e","2020-01-31T00:39:58Z",41.2886,-69.8695,"EPSG:4326",0,0,"Release","POLYGON ((-67.4121 40.2363, -69.7911 40.2904, -70.6035 40.4449, -70.67910000000001 40.487, -71.1855 40.9593, -71.3079 41.1806, -70.28530000000001 43.6964, -69.9359 43.8012, -69.6621 43.8355, -69.1524 43.7982, -68.7291 43.647, -66.02809999999999 42.2129, -67.39109999999999 40.2468, -67.4121 40.2363))","2021-08-12T20:02:21Z"
